artist_name,artist_url,date,id,part,preset_id,rating,recording,song_name,status,tab_access_type,tab_url,tonality_name,tp_version,type,type_name,verified,version,version_description,votes,hits,datetime
twenty one pilots,https://www.ultimate-guitar.com/artist/twenty_one_pilots_36284,1409747907,1516931,,15203,4.90686,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Cant Help Falling In Love,approved,public,https://tabs.ultimate-guitar.com/tab/twenty_one_pilots/cant_help_falling_in_love_ukulele_1516931,C,0,Ukulele Chords,Ukulele,0,1,,5533,746925,2014-09-03
Green Day,https://www.ultimate-guitar.com/artist/green_day_1368,1004486400,12835,,2684,4.84398,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Good Riddance Time Of Your Life,approved,public,https://tabs.ultimate-guitar.com/tab/green_day/good_riddance_time_of_your_life_chords_12835,G,0,Chords,Chords,0,1,,5179,6711879,2001-10-30
Dolly Parton,https://www.ultimate-guitar.com/artist/dolly_parton_11081,1115596800,183019,,10647,4.85806,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Jolene,approved,public,https://tabs.ultimate-guitar.com/tab/dolly_parton/jolene_chords_183019,Am,0,Chords,Chords,0,2,,4862,3472994,2005-05-08
Don McLean,https://www.ultimate-guitar.com/artist/don_mclean_10895,1117497600,187946,,13535,4.87514,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",American Pie,approved,public,https://tabs.ultimate-guitar.com/tab/don_mclean/american_pie_chords_187946,G,0,Chords,Chords,0,1,,4793,5299253,2005-05-30
Oasis,https://www.ultimate-guitar.com/artist/oasis_734,1004486400,6097,,164,4.85955,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Dont Look Back In Anger,approved,public,https://tabs.ultimate-guitar.com/tab/oasis/dont_look_back_in_anger_chords_6097,C,0,Chords,Chords,0,1,,4757,8595009,2001-10-30
James Arthur,https://www.ultimate-guitar.com/artist/james_arthur_38784,1473843689,1874747,,15559,4.87914,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Say You Wont Let Go,approved,public,https://tabs.ultimate-guitar.com/tab/james_arthur/say_you_wont_let_go_chords_1874747,G,0,Chords,Chords,0,4,This version is different because unlike the others it has no bar chords and has a capo on the 3rd fret. It's very easy for beginners.,4693,4394338,2016-09-14
Oasis,https://www.ultimate-guitar.com/artist/oasis_734,1037232000,39144,,2332,4.81148,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Wonderwall,approved,public,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall_chords_39144,F#m,0,Chords,Chords,0,3,,4684,12206877,2002-11-13
David Bowie,https://www.ultimate-guitar.com/artist/david_bowie_9864,1077235200,105869,,3330,4.88263,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",Space Oddity,approved,public,https://tabs.ultimate-guitar.com/tab/david_bowie/space_oddity_chords_105869,C,0,Chords,Chords,0,1,,4653,1989436,2004-02-19
Death Cab for Cutie,https://www.ultimate-guitar.com/artist/death_cab_for_cutie_7750,1140566401,335735,,2682,4.91051,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",I Will Follow You Into The Dark,approved,public,https://tabs.ultimate-guitar.com/tab/death_cab_for_cutie/i_will_follow_you_into_the_dark_chords_335735,Am,0,Chords,Chords,0,3,,4607,5492201,2006-02-21
Paramore,https://www.ultimate-guitar.com/artist/paramore_11926,1253577601,874862,,14595,4.89012,"{'is_acoustic': 0, 'tonality_name': '', 'performance': None, 'recording_artists': []}",The Only Exception,approved,public,https://tabs.ultimate-guitar.com/tab/paramore/the_only_exception_chords_874862,B,0,Chords,Chords,0,1,,4591,9561836,2009-09-21
